_id,title,author,image,description,bookType,publishedDate,publisher,__v
64c0cd5faecac98f4d14b8cd,Chickadee Cove Trilogy,Eliza Ester,http://books.google.com/books/content?id=hrWSEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"With a heartwarming story and a small town setting on the beautiful beaches and hills of Maine, The Chickadee Cove Trilogy is a feel-good read that’s perfect for fans of later in life love and sweet contemporary romance. This box set includes the complete series, which includes the following titles: 1) A Bakery on the Cove Can two wounded souls find love on the gorgeous shores of Maine? Will a spark simmer between these two middle-aged wounded lovebirds? Or will the trauma of their past – and surprise visitor – prove too much for their fledgeling attraction to beat? 2) Second Chance on the Cove Her past has returned – but does she have the heart to drive it away? Can she keep her new bond with the philanthropist alive with her ex back in the picture? And what will become of her youngest daughter Lily, who loves her father more than anyone? 3) Sweet Love on the Cove What happens when disaster strikes and it brings back flooding memories of a past event that was traumatizing? Find out how a terrifying accident brings together two close friends who form a romantic love story brewed in the town of Chickadee Cove.",romance,2022-10-05,Majestic Owl Publishing LLC,0
64c0cd60aecac98f4d14b8cf,Holiday Romance,Catherine Walsh,http://books.google.com/books/content?id=1eF3EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"“This is officially my favorite holiday romance. I loved every single minute of it, and wished it never had to end… The epitome of the Christmas Romance… I cannot recommend this book enough.” Marensreads ⭐⭐⭐⭐⭐ She’s meant to be catching flights, not catching feelings… Molly and Andrew are just trying to get home to Ireland for the holidays, when a freak snowstorm grounds their flight. Nothing romantic has ever happened between them: they’re friends and that’s all. But once a year, for the last ten years, Molly has spent seven hours and fifteen minutes sitting next to Andrew on the last flight before Christmas from Chicago to Dublin, drinking terrible airplane wine and catching up on each other’s lives. In spite of all the ways the two friends are different, it’s the holiday tradition neither of them has ever wanted to give up. Molly isn’t that bothered by Christmas, but—in yet another way they’re total opposites—Andrew is a full-on fanatic for the festive season and she knows how much getting back to Ireland means to him. So, instead of doing the sane thing and just celebrating the holidays together in America, she does the stupid thing. The irrational thing. She vows to get him home. And in time for his mam’s famous Christmas dinner. The clock is ticking. But Molly always has a plan. And—as long as the highly-specific combination of taxis, planes, boats, and trains all run on time—it can’t possibly go wrong. What she doesn’t know is that, as the snow falls over the city and over the heads of two friends who are sure they’re not meant to be together, the universe might just have a plan of its own… A totally gorgeous and escapist friends-to-lovers festive romance with a swoon-worthy hero. Perfect for fans of Sophie Kinsella, Mhairi McFarlane, and Christina Lauren. Readers are head over heels for Holiday Romance: “SOUND THE ALARM!!! IT'S A BANGER ALERT!!!… THE CUTEST AND FUNNIEST ROMCOM I’VE EVER READ!!!... I literally laughed out loud multiple times… The chemistry? Even Marie Curie couldn't handle it… ALL I WANT FOR CHRISTMAS IS FOR THIS BOOK TO GET THE RECOGNITION IT DESERVES!!!!!!” NetGalley reviewer ⭐⭐⭐⭐⭐ “OH MY GOODNESS!… I looooooved this so much!… I had to stop myself from devouring this story much faster! I wanted to enjoy every moment of Molly and Andrew's journey… And awwwwwww!!! Their chemistry!… Sizzling… I ABSOLUTELY FELL IN LOVE… PERFECTION!” Goodreads reviewer ⭐⭐⭐⭐⭐ “OMG I ADOOOOOORED THIS BOOK… My heart melted while witnessing Molly and Andrew slowly falling for each other… I literally found myself screaming ‘Yes, go for it! Just kiss already!’” Goodreads reviewer ⭐⭐⭐⭐⭐ “Oh. My. GOD. I loved this, I LOVED THIS!!… Genuinely my heart was going to burst reading… I just want to say that I’m a grinch and I usually hate holiday romances but this is so so good… I LOVED IT.” Goodreads reviewer ⭐⭐⭐⭐⭐ “I absolutely devoured this… I stayed up till 7am reading this and the birds are now chirping outside… 5 stars!” Goodreads reviewer ⭐⭐⭐⭐⭐ “Can I rate this more than 5 stars?… I haven't laughed out loud this much while reading… The build-up was *chef's kiss*. There was no way I could put this book down.” Goodreads reviewer ⭐⭐⭐⭐⭐ “The perfect book doesn’t exi… YES! Yes it does… The perfect Christmas romcom!… Read. This. Book.” Goodreads reviewer ⭐⭐⭐⭐⭐ “WOW JUST WOW!!!!! I’m just mind blown by how much I loved this book… One of the best Christmas stories I’ve ever read… Absolutely hilarious… I never wanted it to end.” Goodreads reviewer ⭐⭐⭐⭐⭐",romance,2022-10-04,Bookouture,0
64c0cd60aecac98f4d14b8d1,Epic and Romance,W. P. Ker,http://books.google.com/books/content?id=c6WKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"DigiCat Publishing presents to you this special edition of ""Epic and Romance"" (Essays on Medieval Literature) by W. P. Ker. DigiCat Publishing considers every written word to be a legacy of humankind. Every DigiCat book has been carefully reproduced for republishing in a new modern format. The books are available in print, as well as ebooks. DigiCat hopes you will treat this work with the acknowledgment and passion it deserves as a classic of world literature.",romance,2022-09-16,DigiCat,0
64c0cd60aecac98f4d14b8d3,The Love Stories of the Bible Speak,Shannon Bream,http://books.google.com/books/content?id=CCB3zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Bible is full of ""love"" stories. But the Biblical idea of love is so much bigger than we imagine. Love is at the heart of the Bible. From the moment Adam declared Eve ""flesh of my flesh""...to the sacrificial love of Joseph for Mary...to the deep friendship of David and Jonathan...to the abounding and never-changing love of God: The Bible is a love story. But it also redefines the way the world tells us we should think about love. The Bible reveals not just butterflies and broken hearts. In Scripture, we see God's beautiful design for the partnership of marriage. We witness friendships that cross all boundaries. We watch as families navigate the many seasons of life. Our guiding example for them all is the deepest, most abiding, foundational love ever known: God's unconditional love for His people. In The Love Stories of the Bible Speak, Shannon Bream draws lessons from the good, the bad, and the ugly of Biblical romances, friendships, and families. She shows how God's love is often very different from ours, turning upside down our assumptions about life, relationships, and each other. The Love Stories of the Bible Speak reminds us that, no matter where we find ourselves, God's unwavering love will sustain and guide us. These insights into biblical relationships will uplift and encourage you, and reveal new dimensions to the most central Christian duty: to love God and your neighbor.",romance,2023-03-28,Broadside Books,0
64c0cd60aecac98f4d14b8d5,Heartbreaker,Sarah MacLean,http://books.google.com/books/content?id=nB5gEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"'I loved it' ELOISA JAMES 'Smart, sexy, and always romantic' JULIA QUINN 'For a smart, witty and passionate historical romance, I recommend anything by Sarah MacLean' LISA KLEYPAS New York Times bestselling author Sarah MacLean follows her highly acclaimed Bombshell with Heartbreaker, featuring a fierce, fearless heroine on a mission to steal a duke's secrets...and his heart. HEARTBREAKER Hell's Belles, Book 2 A Princess of Thieves Raised among London's most notorious criminals, a twist of fate landed Adelaide Frampton in the bright ballrooms of Mayfair, where she masquerades as a quiet wallflower-so plain and unassuming that no one realizes she's the Matchbreaker...using her superior skills as a thief to help brides avoid the altar. A King of Reputation Henry, Duke of Clayborn, has spent a lifetime living in perfection. He has no time for the salacious gossip that arises every time the Matchbreaker ends another groom. His own reputation is impeccable-and the last thing he needs is a frustrating, fascinating woman discovering the truth of his past, or the secrets he holds close. A Royal Match When the two find themselves on a breakneck journey across Britain to stop a wedding, it's impossible for Clayborn to resist this woman who both frustrates and fascinates him. But late-night carriage rides make for delicious danger...and soon Adelaide is uncovering Clayborn's truths, throwing his well-laid plans into chaos...and threatening to steal his heavily guarded heart. Praise for Sarah MacLean: 'My absolute go-to author for clever, sexy and fun historical romances' Jennifer L. Armentrout 'Sarah MacLean has reignited the romance genre with a bolder edge' The New Yorker 'Funny, smart, feminist and roastingly hot' BookRiot.com 'Do yourself a favor and discover the compelling magic of Sarah MacLean' Amanda Quick 'MacLean writes with an entirely unique blend of elegance and ferocity that bursts from every page' Entertainment Weekly",romance,2022-08-23,Hachette UK,0
64c0cd61aecac98f4d14b8d7,The Romance Recipe,Ruby Barrett,http://books.google.com/books/content?id=dDw1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"“Ruby Barrett’s writing leaves me breathless.” —Rosie Danan A fiery restaurant owner falls for her enigmatic head chef in this charming, emotional romance Amy Chambers: restaurant owner, micromanager, control freak. Amy will do anything to revive her ailing restaurant, including hiring a former reality-show finalist with good connections and a lot to prove. But her hopes that Sophie’s skills and celebrity status would bring her restaurant back from the brink of failure are beginning to wane… Sophie Brunet: grump in the kitchen/sunshine in the streets, took thirty years to figure out she was queer. Sophie just wants to cook. She doesn’t want to constantly post on social media for her dead-in-the-water reality TV career, she doesn’t want to deal with Amy’s take-charge personality and she doesn’t want to think about what her attraction to her boss might mean… Then, an opportunity: a new foodie TV show might provide the exposure they need. An uneasy truce is fine for starters, but making their dreams come true means making some personal and painful sacrifices and soon, there’s more than just the restaurant at stake. Carina Adores is home to romantic love stories where LGBTQ+ characters find their happily-ever-afters. Book 1: Hot Copy Book 2: The Romance Recipe",romance,2022-07-12,Harlequin,0
64c0cd61aecac98f4d14b8d9,Du Rose Blaze,K T Bowes,http://books.google.com/books/content?id=mnx4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Another cuckoo. Another rogue parent. How much more complicated can Hana's life get? The answer? A lot more. Despite her husband's objections, Hana's raising another child cast aside by the Du Roses. But her tender heart is being stretched to its limits by the little girl's needs. As Hana comes to terms with the battle before her, she receives a phone call which ruins a sunny afternoon and throws her world into chaos. With one of her children missing and a body to identify in the morgue, Hana must balance her responsibilities with her dwindling ability to cope. Download Du Rose Blaze now, and lose yourself in another installment in this long running New Zealand series.",romance,2022-07-02,Hakarimata Press,0
64c0cd61aecac98f4d14b8db,The Love List,Elana Johnson,http://books.google.com/books/content?id=9PkxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"From USA Today bestselling author, Elana Johnson, comes your next perfect beach read, with sweet romance, best friends, a second chance at love, and your new best friends in the Sweet Water Falls Supper Club! Beatrice Callahan loves lists. Sometimes she even makes a to-do list of things she's already done, just to go check, check, check and feel accomplished. So it's easy to understand why, when her divorce is finally final and her ex is all moved out, Bea takes a cool, close look at her life...and makes a list. It's not exactly a bucket list. It's a love list. Bea loves the outdoors, so she puts visit 10 National Parks on the list. She loves animals, and on goes get a puppy. She loves the beach, and she adds take a dream vacation to the list, and decides to do that one first. After all she's been through and all she's lost, she needs time to relax, rest, and reset. On the first day she arrives in Hilton Head Island, she meets Grant Turner, the man whose house she's renting for her fabulous beach vacation. He's just there to make sure she settles in properly and has enough towels. But when Bea asks for recommendations around the island, Grant quickly becomes her tour guide and then a friend and then...more than friends. Bea turns to her lists when things get confusing and her love list morphs once again... Can she add fall in love at age 45 to the list and check it off? This later in life romance will have you sighing and swooning on the beach! Meet your new best friends and escape into a book with sweet romance and romantic women's fiction in THE LOVE LIST on Hilton Head Island, South Carolina. For fans of Nancy Thayer, Rachel Hanna, Pamela Kelley, Marie Force, Susan Wiggs, Elin Hilderbrand, Brenda Novak, Susan Mallery, RaeAnne Thayne, and reading beach romance!",romance,2022-05-17,AEJ Creative Works,0
64c0cd61aecac98f4d14b8dd,Going Public,Hudson Lin,http://books.google.com/books/content?id=0hAREAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"“A childhood crush gets a second chance in this heartwarming gay romance.” —Publishers Weekly on Hard Sell A boss. His employee. And a scandal that’s about to change everything… As an operating partner at Jade Harbour, Raymond Chao prides himself in fixing even the most disastrous of portfolio companies—no matter the cost. While his colleagues might not always like his methods, they love his results. But his latest business partner isn’t cooperating, and what’s worse, Raymond's underhanded tactics have landed him in hot water with the law. Elvin Goh has been Raymond's assistant for years, and he's been in love with the charming, ruthless playboy for just as long. There's very little that Elvin won't do—or hasn't done—for Raymond. Impossible crush aside, it's his job. But this time, even Elvin can't see a way out. When long nights in the office lead to whispered confessions and a newfound intimacy, it seems like a dream come true—for both of them. But with the prospect of failure on the horizon, can this dream team beat the odds and come out the victors in the office and in their hearts? Carina Adores is home to romantic love stories where LGBTQ+ characters find their happily-ever-afters. Jade Harbour Capital Book 1: Hard Sell Book 2: Going Public",romance,2022-03-29,Harlequin,0
64c0cd62aecac98f4d14b8df,Written in the Sky So Blue,Kathia,http://books.google.com/books/content?id=OPBLEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A second chance at love—and a first chance at passion—in this steamy novel about two people who want to delete their pasts and rewrite their tragedies into a happily ever after. A man who's been burned… The magic touch? Trent Summerhill Waite has it. He can tell fakes from treasures by the tingle in his fingers—an enviable skill in his line of work as an antiquities trader. When he lights up at their first touch, he knows Rhiannon is the real deal. It’s easy to trust her in his bed, but with his career? Not so much. The last woman he trusted his heart to left his reputation in shambles. Can he have faith in Rhiannon’s offer to help him resurrect it? A woman who sets him on fire… Rhiannon Byrne lives by the rigid rules her academic parents set but hasn't achieved the same professional respect they attained before their deaths. A bookstore owner in rural Ireland, she’s alone with her books and dusty dreams. Until she uncovers a rare Druid manuscript, an undiscovered teaching of Merlin—and along with it, the identity of her real father is. Trent is the only man who can help her discover the truth. Maybe it's time to break a few rules, including that one about mixing business and pleasure. And maybe—just maybe—love will rise from the ashes of their past. Sassy. Sexy. Smart. Meet the next generation of Summerhills. If you love books by Nora Roberts, Nicholas Sparks, Susan Elizabeth Phillips, Debbie Macomber, Robyn Carr, Elin Hilderbrand, Danielle Steele, Barbara O'Neal, Susan Mallery, Kristan Higgans, Sherryl Woods, Jill Shalvis, Roisin Meaney, Melody Grace, Melissa Foster, Addison Cole, Bella Andre, Lucy Kevin, Brenda Novak, Catherine Bybee, Kathryn Andrews,RaeAnne Thayne, Sheila O'Flanagan, Cathy Kelly, Ruth Hogan, Jenny Colgan, Shari Low, Sophie Cousens, Portia MacIntosh. Perfect for fans of Sophie Ranald, Mhairi McFarlane and Zara Stoneley, Holly Martin, and Barbara Freethy try Ava’s! Millions love them! For readers who enjoyed the Virgin River series, Happily Inc, Sweetbriar Cove, Sweet Magnolias, Whiskey Creek, and The Callaways and The Gannett Island series, Seaside Summers, Faraday Country, The Sullivans, Veils and Vows, The Summer Sisters, Indigo Bay Sweet Romance series, and more! Keywords: sweet romance, clean romance books, friendship, free romance, free ebook, family saga, small town romance series, clean and wholesome, billionaire romance, romance series, romantic women’s fiction, best friends, women friends, lighthearted romance, fun romance, southern romance, beach read, friendship, heartwarming romance, laugh romance, feel good romance, inspirational romance, contemporary romance, happily ever after, HEA romance, 7 brides for 7 brothers, Hallmark movies, heartwarming by Harlequin, romantic comedy, romantic comedy series, funny romance, modern romance, lighthearted romance, light romance, romance for adults, contemporary romance, swoonworthy, beach reads, good characters, LOL romance, romantic comedy books free, romance books free, family, love, love books, long series, long romance series, captivating romance, beach romance, beach reads for women, books for summer, Hello Sunshine Book Club, books for the beach, love and friendship, vacation romance, friends to lovers, second chance romance, second chance romance with baby, best friend romance, enemies to lovers, medical romance, doctor and nurse romance, doctor romance, Christmas romance, holiday romance, montana romance, romance novels for teens, mountain town romance, forbidden romance, falling for the wrong man romance, secret baby romance, secret pregnancy romance, Valentine’s Day romance, short romance, short story romance books, romance anthologies, romance collections, waitress romance, love triangle sweet romance, workplace romance, workplace romantic comedy, family romance, Free romance, contemporary romance, new adult, free new adult romance, free sports romance, free small town romance, standalone romance, free romance series starter.",romance,2022-03-21,"Firelight & Fairy Dust Unlimited, Inc.",0
